"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Arunachal Pradesh","Water Supply","Providing/ Augmenta-tion of Water Supply facilities to all the administrative HQs. and its villages under 14-Doimukh Assembly Constituency","NLCPR","01/10/2007","1277.22","1000.00","950.51","200.00","25/03/2010","30/09/2009",""
"Arunachal Pradesh","Water Supply","Providing drinking water supply to Jang township and its peripheral rural villages","NLCPR","14/12/2010","565.14","401.81","199.31","202.50","26/06/2012","30/11/2013",""
"Arunachal Pradesh","Water Supply","Augmentation/Providing Water Supply connection to newly created C.O. HQ at Parang Valley, Papumpare Dist.","NLCPR","15/03/2011","492.94","177.21","177.21","177.21","16/03/2011","28/02/2013",""
"Arunachal Pradesh","Water Supply","Potable drinking water supply scheme for the villages of Sille, Rani, Sikabamin, Sika Tode, Oyan at Sile","NLCPR","06/12/2006","1742.42","1522.51","1522.51","473.65","15/12/2010","31/12/2009",""
"Arunachal Pradesh","Water Supply","Improvement and augmentation of water supply at Yachuli (0.6 MLD), Lower Subansari District","NLCPR","19/05/2011","1319.00","473.30","473.30","473.30","20/05/2011","31/05/2014",""
"Arunachal Pradesh","Miscellaneous","Infrastructure Development including Guest House at Biological Park/Zoo, Itanagar, Papumpare Dist.","NLCPR","15/03/2011","330.81","119.09","0.00","119.09","16/03/2011","29/02/2012",""
"Arunachal Pradesh","Miscellaneous","Tourism infrastructure development at Hotspring at Dong which includes Yatri Nivas at Walong, Hawai and Hayuliang","NLCPR","25/10/2007","400.03","269.90","264.93","143.90","22/03/2011","31/10/2010",""
"Arunachal Pradesh","Miscellaneous","Construction of State Legislative Assembly Building at Arunachal","NLCPR","17/05/2006","3892.19","1862.59","410.00","1362.59","17/03/2010","30/11/2008",""
"Arunachal Pradesh","Miscellaneous","Construction of Police Officers Mess and accomodation to the Upper Subordinates and Police Officers in the Capital Complex (Papum Pare District) in Arunachal Pradesh","NLCPR","14/06/2010","879.10","620.54","248.30","310.27","18/07/2011","15/06/2012",""
"Arunachal Pradesh","Miscellaneous","Ropeway from Tawang Monestary to Ani Gompa (Tawang District)","NLCPR","17/05/2006","330.89","289.19","204.23","84.96","16/03/2010","30/11/2007",""
"Arunachal Pradesh","Miscellaneous","Construction of an Auditorium at Rajiv Gandhi University, Rono Hills, Papum Pare Distirct","NLCPR","17/03/2011","919.56","359.68","0.00","359.68","21/04/2011","28/02/2013",""
"Arunachal Pradesh","Miscellaneous","Construction of Arunachal Pradesh Civil Secretariat Building at Itanagar","NLCPR","31/08/2009","9186.77","6614.46","6614.46","2628.38","21/04/2011","31/08/2012",""
"Arunachal Pradesh","Miscellaneous","Construction of RCC Type (G+2) office building for Soochna Bhavan at Naharlagun, Papum Pare Dist.","NLCPR","15/03/2011","956.64","335.64","0.00","335.64","16/03/2011","28/02/2013",""
"Assam","Flood Control & Irrigation","Flood Control scheme (5 No.) -  Protection of different reaches from the erosion of river Dhansiri at Assam, K.A. Distt. Phase-I","NLCPR","27/02/2002","210.00","210.00","210.00","210.00","27/02/2002","31/03/2003","11/08/2005"
"Assam","Flood Control & Irrigation","Deithor Minor Irrigation cum Community Development Project(Karbi Anglong)","NLCPR","22/03/2010","222.20","78.42","0.00","78.42","22/03/2010","30/04/2013",""
"Assam","Flood Control & Irrigation","Flood Control scheme (5 No.) -  Strengthening of Kahai spur (stone spur no. 2) to protect Dibrugarh town from the erosion of river Brahmaputra","NLCPR","27/02/2002","655.00","624.98","624.98","163.96","27/01/2004","31/03/2003","26/08/2005"
"Assam","Flood Control & Irrigation","Installation of one Lakh Shallow tube wells","NLCPR","25/01/2000","6895.00","6895.00","6895.00","1395.00","30/01/2003","31/03/2002","15/06/2004"
"Assam","Flood Control & Irrigation","Phumen Phangcho Minor Irrigation Scheme (Karbi anglong)","NLCPR","27/06/2011","609.41","437.34","218.67","218.67","17/10/2012","31/10/2012",""
"Assam","Flood Control & Irrigation","Phangcho Basti Irrigation Scheme","NLCPR","17/10/2012","952.69","342.85","0.00","342.85","18/10/2012","30/04/2014",""
"Assam","Flood Control & Irrigation","Sukla Irrigation Project (BTC Package)","NLCPR","31/10/2005","812.72","812.72","812.72","81.27","31/03/2009","31/12/2007","30/09/2010"
"Assam","Flood Control & Irrigation","Construction of dakhindol Lift Irrigation Scheme at Sonitpur and Joisidhi, Assam","NLCPR","28/09/2007","211.21","152.07","152.07","85.54","29/11/2010","30/06/2008",""
"Assam","Flood Control & Irrigation","LIS over river Buridihing in Sassoni Mouza in Dibrugarh Dist.","NLCPR","26/12/2007","239.79","211.58","211.58","42.32","26/09/2011","31/12/2009","31/03/2012"
"Assam","Flood Control & Irrigation","Flood Control scheme (5 No.) -  Protection of different reaches from the erosion of river Dhansiri at Assam, K.A. Distt. Phase-II","NLCPR","27/02/2002","165.00","165.00","165.00","165.00","27/02/2002","31/03/2003","11/08/2005"
"Assam","Flood Control & Irrigation","Washillinghadi ELIS, NC Hills minor irrigation schemes.","NLCPR","18/09/2001","270.00","270.00","270.00","270.00","18/09/2001","31/03/2005","24/06/2005"
"Assam","Flood Control & Irrigation","Flow Irrigation Scheme from River Kulsik at Palashgarh","NLCPR","31/05/2011","1927.88","687.16","0.00","687.16","31/05/2011","30/06/2013",""
"Assam","Flood Control & Irrigation","Khowra flow Irrigation Scheme","NLCPR","28/06/2012","355.33","127.90","0.00","127.90","29/06/2012","31/10/2013",""
"Assam","Flood Control & Irrigation","A/E measures to protect Naharkatia Town from the erosion of river Burhi-Dehing at Jagun Gaon area.","NLCPR","28/12/2012","731.10","263.00","0.00","263.00","28/12/2012","31/08/2013",""
"Assam","Flood Control & Irrigation","Borjan Composite Irrigation Scheme in Assam (Karbi Anglong)","NLCPR","28/10/2005","2228.64","2005.78","2005.78","267.78","05/11/2009","31/10/2009",""
"Assam","Flood Control & Irrigation","89 Nos. of minor irrigation schemes","NLCPR","15/02/1999","2520.00","2520.00","2520.00","899.00","20/12/2001","31/07/2005",""
"Assam","Flood Control & Irrigation","Belsiri Lift Irrigation Scheme","NLCPR","28/09/2007","217.42","68.48","68.42","68.48","28/09/2007","30/06/2008",""
"Assam","Flood Control & Irrigation","Amreng Minor irrigation Scheme (Karbi Anglong)","NLCPR","18/09/2001","1200.00","1200.00","1200.00","300.00","31/12/2004","31/03/2005","30/06/2006"
"Assam","Flood Control & Irrigation","Flood Control scheme (5 No.) -  Protn. Of Harinagar Pt-III area cum dyke along R/B of river Surma (international boundary) from Harinagar to Nathanpur","NLCPR","27/02/2002","364.98","364.98","364.98","214.98","30/01/2003","31/03/2003","31/03/2005"
"Assam","Flood Control & Irrigation","Raising & strengthening Brahmaputra Dyke from Dizmore to Sonarigaon from 14th to23.15th including closing of Amguri and Arney Nalla.","NLCPR","07/01/2004","1151.00","982.38","982.38","134.62","14/06/2007","31/03/2006","31/12/2008"
"Assam","Flood Control & Irrigation","Burinagar Lift Irrigation scheme (Nalbari Division)","NLCPR","27/06/2011","215.69","73.47","0.00","73.47","30/06/2011","31/07/2013",""
"Assam","Flood Control & Irrigation","Kaku Basti Irrigation Scheme","NLCPR","28/06/2012","871.65","313.75","0.00","313.75","29/06/2012","31/10/2013",""
"Assam","Flood Control & Irrigation","Flood Control Scheme (5 No.) - Protn. of Guwahati town from erosion of river Brahmaputra from Kachari Bazaar to D.C. Court","NLCPR","27/02/2002","333.21","333.21","333.21","213.21","05/09/2003","31/03/2003","30/06/2004"
"Assam","Flood Control & Irrigation","Anti Erosion measures to protect Dehingpuria Area near Margherita Town from the erosion of River Buridehing.","NLCPR","28/12/2012","539.99","194.40","0.00","194.40","28/12/2012","31/08/2013",""
"Assam","Flood Control & Irrigation","Anti-Erosion/Flood control Schemes in 25 different locations of Brahmaputra and Barak Valley","NLCPR","15/02/1999","6066.61","6066.61","6066.61","-169.39","19/07/2006","31/03/2007","20/01/2006"
"Assam","Flood Control & Irrigation","Champamati Irrigation Project (BTC Package)","NLCPR","31/10/2005","4385.00","4385.00","4385.00","438.50","01/04/2009","31/12/2007","31/12/2010"
"Assam","Flood Control & Irrigation","LIS over river Buriduhing in Tengakhat Kheremia Mouza in Dibrugarh Distt.","NLCPR","26/12/2007","291.63","257.32","257.32","53.00","26/09/2011","31/12/2009","31/03/2012"
"Assam","Education","Sarva Shiksha Abhiyan for Assam (2006-07)","NLCPR","29/06/2006","10293.41","10292.94","10292.67","3009.27","31/03/2008","31/03/2007",""
"Assam","Education","Construction of 15 HSS Buildings (BAC Area)","NLCPR","31/01/2001","150.00","150.00","150.00","75.00","25/03/2003","31/03/2003","21/06/2006"
"Assam","Education","I.I.T. Guwahati-CS","NLCPR","01/04/1999","3400.00","3400.00","3400.00","3400.00","01/04/1999","31/07/2005","30/03/2001"
"Assam","Education","Infrastructure Development of North Eastern Judicial Officers’ Training Institute, Guwahati (Assam)","NLCPR","27/12/2005","354.28","311.99","311.99","62.40","04/08/2011","31/12/2007","30/03/2011"
"Assam","Education"," Development of infrastructure facilities of Kahrupetia college, i.e construction of class rooms , computer labratory with Ac, hostel for tennis, elctricity facilities, water supply and sanitary installation in darrang distt.","NLCPR","24/10/2007","175.68","55.33","0.00","55.33","08/05/2008","29/11/2008",""
"Assam","Education","Construction of Govt college of Arts & Crafts in Kamrup District","NLCPR","27/06/2011","500.00","178.61","0.00","178.61","29/06/2011","31/12/2013",""
"Assam","Education","Guwahati University Campus. Kokrajhar","NLCPR","30/01/2003","500.00","461.50","461.00","211.50","17/08/2005","31/03/2004",""
"Assam","Education","New Infrastrucutre for Cotton College.","NLCPR","28/02/2000","300.00","300.00","300.00","300.00","28/02/2000","30/06/2001","04/01/2002"
"Assam","Education","Infrastructure Development of Assam SLET Commission","NLCPR","15/11/2010","334.46","118.04","0.00","118.04","15/11/2010","30/11/2012",""
"Assam","Education","Infrastructure Development of Assam Institute of Management, Guwahati","NLCPR","23/07/2010","1461.11","515.68","0.00","515.68","23/07/2010","31/07/2012",""
"Assam","Education","construction of academic - cum - Administrative building of K.K Handique Government Sanskrit College","NLCPR","21/06/2007","238.09","169.71","93.37","76.34","10/05/2012","30/06/2009",""
"Assam","Education","Assam University Silchar (including Diphu Campus) - CS","NLCPR","01/04/1999","1300.00","1300.00","1300.00","1300.00","01/04/1999","31/07/2005",""
"Assam","Education","Modernisation & Augmentation of Infrastructure Development of Assam Textile Institute at Guwahati","NLCPR","12/09/2006","741.49","233.57","200.00","233.57","14/09/2006","30/09/2009",""
"Assam","Education","Tezpur University-CS","NLCPR","01/04/1999","2433.00","2433.00","2433.00","1433.00","01/04/2002","31/07/2005","21/08/2006"
"Assam","Education","Sarva Shiksha Abhiyan for Assam","NLCPR","28/03/2006","2770.00","2770.00","2770.00","2770.00","28/03/2006","29/12/2006","31/03/2007"
"Assam","Education","Bodo Language Research and Development centre for Gauhati University, Kokrajhar(BTC Package-2)","NLCPR","28/01/2011","295.81","147.90","147.90","100.00","21/04/2011","31/01/2014",""
"Assam","Health","Renovation/Re-construction of RNB Civil Hospital at Kokrajhar (BTC Package)","NLCPR","31/10/2005","758.09","758.09","702.32","75.81","01/04/2009","31/10/2007","10/03/2012"
"Assam","Health","Assam Medical College (HOPE)","NLCPR","21/03/2003","2000.00","1840.10","1840.10","169.39","19/07/2006","31/12/2005",""
"Assam","Health","Conversion of 100 bedded Civil Hospital to 200 Bedded Hospital with construction of Staff Quarters and improvement & renovation of existing buildings at Haflong(NC Hills)","NLCPR","29/07/2004","1119.81","1012.64","420.00","592.64","28/09/2007","31/12/2006",""
"Assam","Health","Sankaradeva Netralaya","NLCPR","11/05/2000","100.00","100.00","100.00","100.00","11/05/2000","25/02/2003","30/05/2003"
"Assam","Health","Shankar Dev Netralaya (equipments)","NLCPR","12/11/2002","82.00","82.00","82.00","82.00","12/11/2002","31/05/2003","31/12/2003"
"Assam","Health","Construction of 100 bedded hospital at Kajalgaon in BTC area(BTC Package)","NLCPR","27/01/2005","3851.61","3851.61","3851.61","305.24","31/03/2009","31/01/2008","31/05/2008"
"Assam","Health","Upgradation of  Guwahati Medical College.","NLCPR","10/02/2000","800.00","800.00","800.00","800.00","10/02/2000","31/03/2003","26/09/2005"
"Assam","Health","Construction of two storeyed building of SJN Government Homoeopathic Medical College and Hospital at Panjabari, Guwahati","NLCPR","12/11/2008","265.71","187.54","82.06","105.48","05/12/2011","31/10/2010",""
"Assam","Health","Upgradation of hospital at Udalguri to 100 bedded Hospital.","NLCPR","22/02/2001","169.00","169.00","169.00","84.00","23/07/2003","31/03/2003","28/01/2005"
"Assam","Health","Shankar Dev Netralaya (OT)","NLCPR","26/03/2003","153.00","153.00","153.00","153.00","26/03/2003","30/09/2003","19/12/2003"
"Assam","Power","ST&D -Construction of 33/11 kV, 1x2.5 MVA S/S with auto recloser at Manzai","NLCPR","18/02/2003","28.00","28.00","28.00","7.00","30/06/2005","31/07/2005","31/08/2007"
"Assam","Power","ST&D - Construction of11/0.4 KV distribution S/S 11 KV lines and LT lines-LT lines- 100 km","NLCPR","07/11/2000","100.00","100.00","100.00","100.00","16/10/2000","31/12/2002","12/07/2003"
"Assam","Power","ST&D - Augmentation of Dibrugarh 33 kV S/S from (3x5 + 1x2.5) MVA to 2x10 MVA","NLCPR","30/06/2005","76.00","76.00","76.00","76.00","30/06/2005","31/07/2006","30/04/2006"
"Assam","Power","Sub-transmission  and  Distribution lines (ST&D)-Construction of 33 KV, 30 Km D/C line from Chandrapur to Narengi","NLCPR","07/11/2000","200.00","200.00","200.00","200.00","07/11/2000","31/12/2002","12/07/2003"
"Assam","Power","220 KV/DC Kathalguri Tinsukia line (30 Kms.)","NLCPR","15/02/1999","640.00","640.00","640.00","300.00","22/02/2002","30/09/2004","27/09/2005"
"Assam","Power","2x50 MVA , 220/132 KV Balipara (Tezpur ) Sub-station and a 132 KV Gohpur-Depota Line","NLCPR","08/10/2002","1371.00","1336.22","1336.22","310.32","26/02/2007","31/12/2005","31/12/2008"
"Assam","Power","Tinsukia Sub-Station 2x50 MVA , 220/132 kV","NLCPR","15/02/1999","1964.00","1910.00","1910.00","210.00","03/03/2005","30/09/2002","28/09/2005"
"Assam","Power","ST&D - Augmentation of Hailakandi 33 kV S/S from 2x2.5 MVA to 2x5 MVA","NLCPR","18/02/2003","120.00","80.00","80.00","80.00","18/02/2003","31/03/2005","26/08/2005"
"Assam","Power","Augmentation of 220/132 kv 2x50 mva s/s to 2x100 s/s at mariani","NLCPR","27/02/2002","637.00","625.19","624.64","125.19","10/03/2005","30/10/2004","25/05/2006"
"Assam","Power","ST&D - Augmentation of Tezpur 33 kV S/S from (1x2.5+5) MVA to 2x5 MVA","NLCPR","18/02/2003","90.00","50.00","50.00","50.00","18/02/2003","31/07/2005","30/09/2005"
"Assam","Power","ST&D - Construction of 14.5 km 33 kV Pathsala-Nathkuchi line with augmentation of Pathsala S/S from 2x2.5 MVA to 2x5 MVA","NLCPR","18/02/2003","181.00","181.00","181.00","81.00","30/06/2005","31/07/2005","31/03/2006"
"Assam","Power","Replacement of old 11 KV MCCB by VCB at Beheting, Hezalbank,doomdooma, Duliajan, North Lakhimpur, Meherpur, karimganj, Tangla, Amingaon, Narangi, Nagaon,Kaliabor, Kathiatoli, rupohi, Samaguri, bokajan, jorhat, Balipara, Tezpur,chapaguri & Diphu S/S","NLCPR","18/02/2003","510.00","510.00","510.00","265.00","30/06/2005","31/07/2007","30/04/2009"
"Assam","Power","ST&D - Construction of 1x2.5 MVA, 33 kV S/S at Gogamukh","NLCPR","18/02/2003","45.00","30.00","30.00","30.00","18/02/2003","31/07/2005","31/07/2006"
"Assam","Power","ST&D - Construction of 26 km 33 kV Agia - Mornoi line with construction of 2x2.5 MVA S/S at Mornoi","NLCPR","18/02/2003","163.00","163.00","163.00","83.00","30/06/2005","31/07/2005","29/02/2008"
"Assam","Power","ST&D - Construction of 5 MVA 33 kV S/S at Biswanath Chariali","NLCPR","18/02/2003","98.00","73.40","73.40","13.40","30/06/2005","31/07/2005","30/06/2006"
"Assam","Power","ST&D - Reconductoring of KahiliPara-Ulubari 33 kV feeder from raccoon to wolf conductor","NLCPR","18/02/2003","5.00","5.00","0.00","5.00","18/02/2003","31/07/2005","30/06/2006"
"Assam","Power","ST&D -Construction of 28 km line from Rowta to Dhekiajuli on double pole suspension with wolf conductor","NLCPR","18/02/2003","151.00","151.00","150.00","51.00","30/06/2005","31/07/2005","31/05/2006"
"Assam","Power","Installation of Street Lights from Lokpriya Gopinath Bordoloi International Airport upto Jalukbari near Guwahati University for National Games 2005","NLCPR","24/12/2004","239.16","216.86","215.24","133.70","16/07/2007","31/12/2005","09/07/2007"
