"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
96.0,"Agriculture-III","Regulation of root development by auxin and cytokinin mediated signaling [BT/PR3304/AGR/2/815/2011]","Dr. Debasis  Chattopadhyay
National Institute of Plant Genome Research New Delhi, Delhi-110067","27/09/2011","3 Years 0 Month",50711200.0
97.0,"Agriculture-III","Study of the role Mitogen Activated Protein Kinase (MAPK) during rice root development [BT/PR3298/AGR/2/812/2011]","Dr. Alok Krishna  Sinha
National Institute of Plant Genome Research New Delhi, Delhi-110067","27/09/2011","3 Years 0 Month",3811200.0
98.0,"Agriculture-III","To study the role of glucose and its interaction with hormones in controlling Arabidopsis thaliana root directional responses [BT/PR3302/AGR/2/814/2011]","Dr. Ashverya  Laxmi
National Institute of Plant Genome Research New Delhi, Delhi-110067","27/09/2011","3 Years 0 Month",2688000.0
99.0,"Agriculture-III","Identification and characterization of zinc responsive genes in maize (Zea mays) by RNAseq [BT/PR4987/AGIII/103/849/2012]","Dr. Tapan Kumar Mondal
National Bureau of Plant Genetic Resources New Delhi, Delhi-110012","28/01/2013","3 Years 0 Month",2860000.0
100.0,"Agriculture-III","Refinement and validation of immunoassays for detection and determination of fungal entities for seed certification and screening resistance against Karnal bunt (Tilletia indica) in wheat [BT/PR14183/AGR/02/734/2010]","Dr. Anil  Kumar
G.B. Pant University of Agric. & Tech. Pantnagar Pant Nagar, Uttarakhand-263128","29/08/2011","3 Years 0 Month",6620400.0
101.0,"Agriculture-III","Heat stress-induced Calmodulin-Binding proteins in sorghum: Characterization, cloning and expression analysis [BT/PR-15221/AGR/02/786/2011]","Dr. Prabhjeet  Singh
Guru Nanak Dev University Amritsar, Punjab-143001","29/08/2011","3 Years 0 Month",6485000.0
102.0,"Agriculture-III","Identification of genetic markers related to fungal resistance in finger millet (Eleusine coracana (L.) Gaerth.) using molecular marker techniques [BT/PR15011/AGR/02/772/2010]","Dr. Savarimuthu  Ignacimuthu
Loyola College Chennai, Tamilnadu-600034","30/08/2011","3 Years 0 Month",2100200.0
103.0,"ANIMAL BIOTECHNOLOGY","Improvement in fertilizability of cryopreserved buffalo bull semen by minimizing cryocapacitation and apoptosis like changes [BT/PR3596/AAQ/01/483/2011]","Dr. Ajeet  Kumar
Guru Angad Dev Veterinary and Animal Science University Ludhiana, Punjab-141001","02/03/2012","2 Years 0 Month",5295800.0
104.0,"ANIMAL BIOTECHNOLOGY","MELATONIN: A POTENTIAL CANDIDATE FOR ALLEVIATING SEASONAL SUPPRESSION OF FERTILITY IN BUFFALOES [BT/PR2912/AAQ/1/473/2011]","Dr. SARVPREET SINGH GHUMAN
Guru Angad Dev Veterinary and Animal Science University Ludhiana, Punjab-141001","02/03/2012","3 Years 0 Month",5461400.0
105.0,"ANIMAL BIOTECHNOLOGY","Identification of SNPs in QTL region in Indian goats and their association with milk quality traits for healtfulness. [BT/PR12555/AAQ/01/03/2009]","Dr. S P Dixit
National Bureau of Animal Genetic Resources Karnal, Haryana-132001","02/06/2010","3 Years 0 Month",5045008.0
106.0,"ANIMAL BIOTECHNOLOGY","An exploratory project to determine possibility of generating males producing only X chromosome bearing sperm [BT/PR13599/AAQ/01/430/2010]","Dr. Subeer M Majumdar
National Institute of Immunology New Delhi, Delhi-110067","02/06/2010","3 Years 0 Month",1970016.0
107.0,"ANIMAL BIOTECHNOLOGY","Molecular characterization of satellite tagged genes in water buffalo Bubalus bubalis [BT/PR14102/AAQ/01/438/2010]","Dr. Sher  Ali
National Institute of Immunology New Delhi, Delhi-110067","02/12/2010","3 Years 0 Month",4164000.36
108.0,"ANIMAL BIOTECHNOLOGY","PRODUCTION AND CHARACTERIZATION OF RECOMBINANT BOVINE AND BUBALINE GONADOTROPINS [BT/PR1554/AAQ/1/471/2011]","Prof. Rajan  Dighe
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","05/03/2012","3 Years 0 Month",8554000.0
109.0,"ANIMAL BIOTECHNOLOGY","Bioconversion of agricultural wastes for production of nutraceuticals to improve gut health in animals [BT/PR5703/AAQ/1/504/2012]","Dr. Ashis Kumar Samanta
National Institute of Animal Nutrition And Physiology Bangalore, Karnataka-560030","06/02/2013","3 Years 0 Month",5058000.0
110.0,"ANIMAL BIOTECHNOLOGY","High throughput exome sequence analysis in four buffalo breeds of Gujarat to detect single nucleotide polymorphisms [BT/PR13605/AAQ/01/431/2010]","Prof. Chaitnya C Joshi
Agri Biotech Foundation Hyderabad, Gujarat-500030","06/09/2011","2 Years 0 Month",9252400.0
111.0,"ANIMAL BIOTECHNOLOGY","Mining markers of pregnancy in cell free body fluids of buffaloes (Bubalus bubalis). [BT/PR3971/AAQ/1/487/2011]","Dr. Jyotirmoy  Ghosh
National Institute of Animal Nutrition And Physiology Bangalore, Karnataka-560030","09/02/2012","3 Years 0 Month",8476600.0
112.0,"ANIMAL BIOTECHNOLOGY","Ultra rapid vitrification and subsequent in- vitro maturation and fertilization of bovine oocytes and polyadenylation of oocyte mRNA [BT/PR13290/AAQ/01/419/2009]","Prof. Devojyoti  Dutta
Assam Agricultural University Jorhat, Assam-785013","09/09/2010","3 Years 0 Month",4813016.0
113.0,"ANIMAL BIOTECHNOLOGY","Expression and localisation of autocrine and paracrine factors and their receptors regulating corpus luteum function during the estrous cycle of buffaloes (Bubalus bubalis). [BT/PR14472/AAQ/01/444/2010]","Dr. Mihir  Sarkar
INDIAN VETERINARY RESEARCH INSTITUTE- UTTAR PRADESH Bareilly, Uttar Pradesh-243122","10/03/2011","4 Years 0 Month",5006300.12
114.0,"ANIMAL BIOTECHNOLOGY","Diversity study of CLA producing indigenous Butyrivibrio spp., its subsequent utilization as a probiotic for animals and gene expression pattern of enzymes involved in biohydrogenation of fatty acids [BT/PR14744/AAQ/01/453/2010]","Dr. Amrish  Tyagi
National Dairy Research Institute Karnal, Haryana-132001","10/06/2011","4 Years 0 Month",7046524.0
115.0,"ANIMAL BIOTECHNOLOGY","Assessment of differentiation potential of pluripotent stem cells (PSCs) from EGFP-expressing transgenic ‘green’ mice: involvement of molecular regulators of differentiation [BT/PR5425/AAQ/1/498/2012]","Dr. Polani  Seshagiri
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","12/02/2013","3 Years 0 Month",3925600.0
116.0,"ANIMAL BIOTECHNOLOGY","Thermotolerance gene expression analysis in Salmonella Typhimurium    and   development  of  their  thermal death time  models  applicable to poultry processing [BT/PR4326/AAQ/1/496/2012]","Dr. Ajit Singh Yadav
Central Avian Research Institute Bareilly, Uttar Pradesh-243122","12/07/2012","3 Years 0 Month",4510280.0
117.0,"ANIMAL BIOTECHNOLOGY","Biochemical characteristics of physiological significance of a novel forward motility stimulating protein and its potential for application [BT/PR13167/AAQ/01/416/2009]","Dr. Debdas  Bhattacharyya
Centre for Rural & Cryogenic Technologies Kolkata, West Bengal-700032","12/08/2010","3 Years 0 Month",3042004.0
118.0,"ANIMAL BIOTECHNOLOGY","Molecular changes in primordial follicle as a function of aging: A study using rodents and livestock (cows, buffalo and goats) as model. [BT/PR5487/AAQ/1/500/2012]","Dr. Rajan  Dighe
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","13/07/2012","3 Years 0 Month",6158200.0
119.0,"ANIMAL BIOTECHNOLOGY","Evaluation of Toll-like receptor agonists for their Immuno-modulating potential in poultry [BT/PR14426/AAQ/01/441/2010]","Dr. Pankaj  Kumar
Sardarkrushinagar Dantiwada Agricultural University Palanpur, Gujarat-385506","14/03/2011","3 Years 0 Month",3755003.0
120.0,"ANIMAL BIOTECHNOLOGY","Evaluation of herbal residues and nutraceuticals as alternatives to antibiotics for improving the performance of pigs [BT/PR13932/AAQ/01/435/2010]","Dr. MV AN Suryanarayana
Sri Venkateswara Veterinary University Tirupati, Andhra Pradesh-517502","14/03/2011","3 Years 0 Month",5515006.0
121.0,"ANIMAL BIOTECHNOLOGY","Dietary modulation of zinc in buffaloes: Effect on growth, immune response and ovarian follicular dynamics [BT/PR13479/AAQ/01/427/2010]","Dr. D  Nagalakshmi
Sri Venkateswara Veterinary University Tirupati, Andhra Pradesh-517502","15/09/2010","3 Years 0 Month",3340020.0
122.0,"ANIMAL BIOTECHNOLOGY","Genetic diversity and haplotyping of innate immune genes in Indian cattle and Buffalo [BT/PR3111/AAQ/1/474/2011]","Dr. Sachinandan  De
National Dairy Research Institute Karnal, Haryana-132001","16/02/2012","3 Years 0 Month",4997600.0
123.0,"ANIMAL BIOTECHNOLOGY","Molecular cloning and characterization of buffalo sperm CatSper and few other fertility associated proteins for development a fertility assay to screen sub-fertile buffalo bull semen [BT/PR3595/AAQ/1/482/2011]","Dr. Sudhir C Roy
National Institute of Animal Nutrition And Physiology Bangalore, Karnataka-560030","16/02/2012","3 Years 0 Month",4823000.0
124.0,"ANIMAL BIOTECHNOLOGY","Transcriptomic profiling of spermatozoa for selection of fertile bulls [BT/PR3587/AAQ/1/481/2011]","Dr. S  Selvaraju
National Institute of Animal Nutrition And Physiology Bangalore, Karnataka-560030","16/02/2012","3 Years 0 Month",6264400.0
125.0,"ANIMAL BIOTECHNOLOGY","Immobilized fungal phytase production and its dietary evaluation in broiler and layer chicken. [BT/PR3178/AAQ/1/476/2011]","Dr. AV  Elangovan
National Institute of Animal Nutrition And Physiology Bangalore, Karnataka-560030","16/02/2012","4 Years 0 Month",5595200.0
126.0,"ANIMAL BIOTECHNOLOGY","Melatonin and cytokine (IL-2, IL-6, and TNF-a and IFN-?) cross-talk in regulation of immune function in Indian Goat, Capra hircus [BT/PR14505/AAQ/01/445/2010]","Prof. Chandana  Haldar
Banaras Hindu University Varanasi, Uttar Pradesh-221005","16/05/2011","3 Years 0 Month",3915052.0
127.0,"ANIMAL BIOTECHNOLOGY","A detailed study on the toxic effects of some environmental chemicals on reproductive system of animals [BT/PR14836/AAQ/01/455/2010]","Dr. Partha  Roy
INDIAN INSTITUTE OF TECHNOLOGY, ROORKEE Roorkee, Uttarakhand-247667","16/05/2011","2 Years 0 Month",3646800.0
128.0,"ANIMAL BIOTECHNOLOGY","Molecular basis for modulation of immunocompetence of neutrophilic function in vivo and in vitro of high producing cows and buffaloes peripartum. [BT/PR13016/AAQ/01/411/2009]","Dr. Ajay K Dang
National Dairy Research Institute Karnal, Haryana-132001","16/06/2010","3 Years 0 Month",4915016.0
129.0,"ANIMAL BIOTECHNOLOGY","Development of encapsulation process for feed enzymes to improve heat tolerance and storage stability [BT/PR14851/AAQ/01/457/2010]","Prof. K Kondal Reddy
Sri Venkateswara Veterinary University Tirupati, Andhra Pradesh-517502","17/03/2011","2 Years 0 Month",2138002.4
130.0,"ANIMAL BIOTECHNOLOGY","Regulation of Corpus Luteum Function in the Buffalo Cow: Analyses of signaling pathways following stimulation of function and regression of corpus luteum [BT/PR4154/AAQ/1/491/2011]","Prof. MEDHAMURTHY  RUDRAIAH
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","19/07/2012","3 Years 0 Month",5451400.0
131.0,"ANIMAL BIOTECHNOLOGY","identification of fertility associated proteins in dog semen and artificial insemination with frozen semen in bitches [BT/PR6798/AAQ/1/520/2012]","Dr. Sathiamoorthy  Thangavel
Tamilnadu Veterinary & Animal Science University Chennai, Tamilnadu-600051","21/02/2013","3 Years 0 Month",3313280.0
132.0,"ANIMAL BIOTECHNOLOGY","Molecular identification and characterization of melatonin receptor in sheep in relation to reproductive seasonality. [BT/PR14462/AAQ/01/442/2010]","Dr. V K Saxena
Central Sheep & Wool Research Institute Tonk, Rajasthan-304501","22/03/2011","3 Years 0 Month",6323012.0
133.0,"ANIMAL BIOTECHNOLOGY","Studies on cellular and molecular changes during postovulatory aging of rat eggs [BT/PR4225/AAQ/1/492/2011]","Dr. Shail K  Chaube
Banaras Hindu University Varanasi, Uttar Pradesh-221005","22/08/2012","3 Years 0 Month",5455800.0
134.0,"ANIMAL BIOTECHNOLOGY","Elucidating molecular and cellular mechanisms of ovarian and uterine cells function underlying the infertility associated with postpartum uterine infection in buffalo. [BT/PR15424/AAQ/01/468/2011]","Dr. Dheer  Singh
National Dairy Research Institute Karnal, Haryana-132001","22/09/2011","3 Years 0 Month",5979200.0
135.0,"ANIMAL BIOTECHNOLOGY","Structural and functional characterization of marmoset (Callithrix jacchus) follicle stimulating hormone [BT/PR4086/AAQ/1/490/2011]","Dr. Smita Dilip Mahale
National Institute For Research In Reproductive Health Mumbai, Maharashtra-400012","23/08/2012","3 Years 0 Month",4768000.0
136.0,"ANIMAL BIOTECHNOLOGY","Development of transgenes for in vitro expression in buffalo mammary gland epithelial cells [BT/PR15035/AAQ/01/462/2011]","Dr. M S Chauhan
National Dairy Research Institute Karnal, Haryana-132001","23/09/2011","2 Years 0 Month",4306800.0
137.0,"ANIMAL BIOTECHNOLOGY","Fluorescent in situ hybridization (FISH) and associated techniques for characterization of chromosomes for detection of genetical and reproductive problems in cattle, buffalo and goats [BT/PR14767/AAQ/01/454/2010]","Dr. B R Yadav
National Dairy Research Institute Karnal, Haryana-132001","27/06/2011","3 Years 0 Month",4311016.0
138.0,"ANIMAL BIOTECHNOLOGY","Development of pregnancy associated glycoprotein (PAG) based immunodiagnostic in buffaloes (Bubalus bubalis) [BT/PR14884/AAQ/01/461/2010]","Dr. Jyotirmoy  Ghosh
National Institute of Animal Nutrition And Physiology Bangalore, Karnataka-560030","27/06/2011","3 Years 0 Month",4886008.0
139.0,"ANIMAL BIOTECHNOLOGY","Structural Exploration of Recombinant Mouse Seminal Vesicle Spink-3 Receptor on Sperm Acrosome [BT/PR6794/AAQ/1/521/2012]","Dr. P S Sudhakar Gandhi
Anna University Chennai Chennai, Tamilnadu-600025","28/01/2013","3 Years 0 Month",2987000.0
140.0,"ANIMAL BIOTECHNOLOGY","Regulation of follicular dynamics in crossbred cows for augmenting fertility and superstimulation [BT/PR14687/AAQ/01/450/2010]","Dr. S  Satheshkumar
Tamilnadu Veterinary & Animal Science University Chennai, Tamilnadu-600051","28/02/2011","3 Years 0 Month",4856002.0
141.0,"ANIMAL BIOTECHNOLOGY","Single nucleotide polymorphism detection in coding region of poultry genome and its association with feed conversion ratio of broilers. [BT/PR15360/AAQ/01/466/2011]","Prof. Chaitnya C Joshi
Agri Biotech Foundation Hyderabad, Gujarat-500030","28/09/2011","2 Years 0 Month",5886200.0
142.0,"ANIMAL BIOTECHNOLOGY","Production of transgenic mice secreting a broad- spectrum antibacterial protein  in milk: Evaluation of its in vivo activity in mouse model of mastitis [BT/PR6698/AAQ/1/518/2012]","Dr. Satish  Kumar
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","29/01/2013","3 Years 0 Month",5693000.0
143.0,"ANIMAL BIOTECHNOLOGY","Effect of resveratrol and carvacrol in ameliorating aflatoxin induced molecular changes in broilers. [BT/PR13725/AAQ/01/433/2010]","Dr. Manpal  Sridhar
National Institute of Animal Nutrition And Physiology Bangalore, Karnataka-560030","29/09/2010","3 Years 0 Month",4906020.0
144.0,"ANIMAL BIOTECHNOLOGY","Biotechnological strategies for productivity enhancement of Emu (Dromaius novaehollandiae). [BT/PR13767/AAQ/01/434/2010]","Dr. P Tensingh Gnanaraj
Tamilnadu Veterinary & Animal Science University Chennai, Tamilnadu-600051","29/10/2010","3 Years 0 Month",3841008.0
145.0,"ANIMAL BIOTECHNOLOGY","A comparative study of testicular genes expressed during summer and winter in wall lizard to identify gene associated with onset of spermatogenesis, and fucntional genomic studies using transgenic mouse model to find their importance in animal virility. [BT/PR14644/AAQ/01/448/2010]","Prof. Umesh  Rai
University of Delhi, North Campus Delhi, Delhi-110007","31/01/2011","3 Years 0 Month",2908016.0
146.0,"ANIMAL BIOTECHNOLOGY","Bioacoustics tool: A novel non-invasive approach for efficient monitoring of                             health and productivity in dairy animals [BT/PR3545/AAQ/1/493/2011]","Dr. Surender Singh lathwal
National Dairy Research Institute Karnal, Haryana-132001","31/01/2013","3 Years 0 Month",7339000.0
147.0,"ANIMAL BIOTECHNOLOGY","A feasibility study to generate transgenic buffalo and an attempt to express human proteins of therapeutic value in the milk [BT/PR11430/AAQ/01/381/2008]","Dr. Subeer M Majumdar
National Institute of Immunology New Delhi, Delhi-110067","31/08/2010","3 Years 0 Month",29054096.0
148.0,"ANIMAL DIAGNOSTIC AND VACCINE","MOLECULAR CHARACTERIZATION OF BOVINE LEUKOCYTE ANTIGEN BOLA - DRB3 GENE AND THEIR ASSOCIATION WITH MASTITIS IN CROSSBRED DAIRY CATTLE OF TAMIL NADU [BT/PR1234/ADV/90/119/2011]","Dr. R  Saravanan
Tamilnadu Veterinary & Animal Science University Chennai, Tamilnadu-600051","04/05/2012","2 Years 0 Month",2991240.0
